,Date/Time,Location,Initiated By,Race,Gender,Reason for Stop,Disposition,Search
1,4/17/2019 1:37 PM,5107 S Blackstone,Citizen request for UCPD Response,African American,Male,Subject matched description of possible trespass offender,Name checked; released; no further action,No
2,4/18/2019 8:42 PM,5328 S Ellis Ave,UCPD,African American,Male,Subject fit the description of recent robbery offenders. Further investigation revealed no suspicious activity.,Name checked; released; no further action,No
3,4/19/2019 10:59 AM,5100 S Greenwood,UCPD,African American,Male,FBI agents contacted CPD in regards to subject trespassing on property. Upon arrival CPD took subject into custody for CTTL,Name checked; arrested by CPD,No
4,4/19/2019 10:59 AM,5100 S Greenwood,UCPD,African American,Male,FBI agents contacted CPD in regards to subject trespassing on property. Upon arrival CPD took subject into custody for CTTL,Name checked; arrested by CPD,No
0,4/20/2019 9:11 AM,5700 S Stony Island,Citizen request for UCPD Response,African American,Male,"Call into ECC in regards to M/B subject who has been observed in the area, possibly involved in thefts and a purse snatch",Name checked; released; no further action,No
1,4/20/2019 11:50 AM,1323 E 61st Street,Citizen request for UCPD Response,African American,Male,"Citizen advised that a suspicious vehicle had been sitting in front of her house for 15 mins, causing concern for the home owner. Upon pulling up, the vehicle attempted to pull off",Name checked; released; no further action,No
2,No field interviews for 04/21/2019,No field interviews for 04/21/2019,No field interviews for 04/21/2019,No field interviews for 04/21/2019,No field interviews for 04/21/2019,No field interviews for 04/21/2019,No field interviews for 04/21/2019,No field interviews for 04/21/2019
3,No field interviews for 04/22/2019,No field interviews for 04/22/2019,No field interviews for 04/22/2019,No field interviews for 04/22/2019,No field interviews for 04/22/2019,No field interviews for 04/22/2019,No field interviews for 04/22/2019,No field interviews for 04/22/2019
4,4/23/2019 11:43 PM,5600 Ellis,Citizen request for UCPD Response,African American,Male,"Call from citizen over Zone 5 radio Man W/ gun. Units observed vehicle matching description. Stop conducted/consensual search of driver, passenger and vehicle.",Name checked; released; no further action,Yes
0,4/23/2019 11:43 PM,5600 Ellis,Citizen request for UCPD Response,African American,Male,"Call from citizen over Zone 5 radio Man W/ gun. Units observed vehicle matching description. Stop conducted/consensual search of driver, passenger and vehicle.",Name checked; released; no further action,Yes
1,4/24/2019 12:30 AM,5700 Dorchester,UCPD,Caucasian,Male,Open alcohol in public (alcohol disposed of),Name checked; released; no further action,No
2,4/24/2019 1:57 PM,950 E 61st Street,Citizen request for UCPD Response,African American,Male,Subject was identified by a witness on scene as a suspect who may have taken a package from an apartment vestibule. Subject was not in possession of stolen property.,Name checked; released; no further action,No
3,4/25/2019 4:34 AM,5451 S Hyde Park Blvd,Citizen request for UCPD Response,Hispanic,Male,Subject matched physical and clothing description provided via CPD Zone 5 radio where caller reported observing a suspicious ind. pulling car door handles.,Name checked; released; no further action,Yes
4,No field interviews for 04/25/2019,No field interviews for 04/25/2019,No field interviews for 04/25/2019,No field interviews for 04/25/2019,No field interviews for 04/25/2019,No field interviews for 04/25/2019,No field interviews for 04/25/2019,No field interviews for 04/25/2019
0,4/26/2019 7:38 PM,1169 E 56th St,UCPD,African American,Male,Fit the description of an individual who attempted to gain entry into a church,Name checked; released; no further action,No
1,4/26/2019 9:49 PM,5000 S Drexel Ave,Citizen request for UCPD Response,African American,Male,Call from citizen who observed a male push a female into his car and drive away. Units observed vehicle matching description. Stop conducted with further revealing no crime occurred.,Name checked; released; no further action,No
2,No field interviews for 04/27/2019,No field interviews for 04/27/2019,No field interviews for 04/27/2019,No field interviews for 04/27/2019,No field interviews for 04/27/2019,No field interviews for 04/27/2019,No field interviews for 04/27/2019,No field interviews for 04/27/2019
3,No field interviews for 04/28/2019,No field interviews for 04/28/2019,No field interviews for 04/28/2019,No field interviews for 04/28/2019,No field interviews for 04/28/2019,No field interviews for 04/28/2019,No field interviews for 04/28/2019,No field interviews for 04/28/2019
4,4/29/2019 3:00 PM,1307 E 60th Street,UCPD,African American,Male,"Juv subject identified by witness who he observed inside of a vehicle, which was found later to be ransack. Property found on subject identified by vehicle owner, who signed refusal",Name checked; released to parent,Yes
0,4/29/2019 3:00 PM,1307 E 60th Street,UCPD,African American,Male,"Juv subject identified by witness who he observed inside of a vehicle, which was found later to be ransack. Property found on subject identified by vehicle owner, who signed refusal",Name checked; released to parent,Yes
1,No field interviews for 04/30/2019,No field interviews for 04/30/2019,No field interviews for 04/30/2019,No field interviews for 04/30/2019,No field interviews for 04/30/2019,No field interviews for 04/30/2019,No field interviews for 04/30/2019,No field interviews for 04/30/2019
2,5/1/2019 6:15 PM,5400 Woodlawn,Citizen request for UCPD Response,African American,Male,Citizen complained that a subject was asking for money,Name checked; released; no further action,No
3,No field interviews for 05/02/2019,No field interviews for 05/02/2019,No field interviews for 05/02/2019,No field interviews for 05/02/2019,No field interviews for 05/02/2019,No field interviews for 05/02/2019,No field interviews for 05/02/2019,No field interviews for 05/02/2019
4,No field interviews for 05/03/2019,No field interviews for 05/03/2019,No field interviews for 05/03/2019,No field interviews for 05/03/2019,No field interviews for 05/03/2019,No field interviews for 05/03/2019,No field interviews for 05/03/2019,No field interviews for 05/03/2019
0,No field interviews for 05/04/2019,No field interviews for 05/04/2019,No field interviews for 05/04/2019,No field interviews for 05/04/2019,No field interviews for 05/04/2019,No field interviews for 05/04/2019,No field interviews for 05/04/2019,No field interviews for 05/04/2019
1,No field interviews for 05/05/2019,No field interviews for 05/05/2019,No field interviews for 05/05/2019,No field interviews for 05/05/2019,No field interviews for 05/05/2019,No field interviews for 05/05/2019,No field interviews for 05/05/2019,No field interviews for 05/05/2019
2,No field interviews for 05/06/2019,No field interviews for 05/06/2019,No field interviews for 05/06/2019,No field interviews for 05/06/2019,No field interviews for 05/06/2019,No field interviews for 05/06/2019,No field interviews for 05/06/2019,No field interviews for 05/06/2019
3,5/7/2019 4:21 PM,1100 E 57th Street,UCPD,African American,Male,Subject observed checking the area of the Bike Racks (3-4 times) in bicycle theft hot spot area,Name checked; released; no further action,No
4,No field interviews for 05/08/2019,No field interviews for 05/08/2019,No field interviews for 05/08/2019,No field interviews for 05/08/2019,No field interviews for 05/08/2019,No field interviews for 05/08/2019,No field interviews for 05/08/2019,No field interviews for 05/08/2019
0,No field interviews for 05/09/2019,No field interviews for 05/09/2019,No field interviews for 05/09/2019,No field interviews for 05/09/2019,No field interviews for 05/09/2019,No field interviews for 05/09/2019,No field interviews for 05/09/2019,No field interviews for 05/09/2019
1,5/10/2019 1089,5300 S Harper,UCPD,African American,Male,"While on robbery mission, unit observed suspicious auto with TX dealer plate, parked on corner",Issued citation for illegal use of specialty plate,No
2,No field interviews for 05/11/2019,No field interviews for 05/11/2019,No field interviews for 05/11/2019,No field interviews for 05/11/2019,No field interviews for 05/11/2019,No field interviews for 05/11/2019,No field interviews for 05/11/2019,No field interviews for 05/11/2019
3,No field interviews for 05/12/2019,No field interviews for 05/12/2019,No field interviews for 05/12/2019,No field interviews for 05/12/2019,No field interviews for 05/12/2019,No field interviews for 05/12/2019,No field interviews for 05/12/2019,No field interviews for 05/12/2019
4,5/13/2019 11:19 PM,6031 S. Ellis,Citizen request for UCPD Response,African American,Male,Unaffiliated juvenile was observed suspiciously loitering near bike rack.,Name checked & released w/ no further action.,No
0,5/13/2019 11:19 PM,6031 S. Ellis,Citizen request for UCPD Response,African American,Male,Unaffiliated juvenile was observed suspiciously loitering near bike rack.,Name checked & released w/ no further action.,No
1,No field interviews for 05/15/2019,No field interviews for 05/15/2019,No field interviews for 05/15/2019,No field interviews for 05/15/2019,No field interviews for 05/15/2019,No field interviews for 05/15/2019,No field interviews for 05/15/2019,No field interviews for 05/15/2019
2,No field interviews for 05/16/2019,No field interviews for 05/16/2019,No field interviews for 05/16/2019,No field interviews for 05/16/2019,No field interviews for 05/16/2019,No field interviews for 05/16/2019,No field interviews for 05/16/2019,No field interviews for 05/16/2019
3,No field interviews for 05/20/2019,No field interviews for 05/20/2019,No field interviews for 05/20/2019,No field interviews for 05/20/2019,No field interviews for 05/20/2019,No field interviews for 05/20/2019,No field interviews for 05/20/2019,No field interviews for 05/20/2019
4,5/21/2019 3:33 PM,4900 S. Greenwood,UCPD,African American,Male,Subject was canvassing the area near a motorcycle (mc) and removed the mc cover from the parked vehicle,Name checked; released; no further action,No
0,5/21/2019 3:33 PM,4900 S. Greenwood,UCPD,African American,Male,Subject was canvassing the area near a motorcycle (mc) and removed the mc cover from the parked vehicle,Name checked; released; no further action,No
1,5/21/2019 9:35 PM,5100 S. Ingleside,UCPD,African American,Male,Unit detained subject that matched a description wanted by CPD. Investigation revealed negative results.,Released; no further action,No
2,5/21/2019 11:20 PM,5505 S. Ellis,UCPD,African American,Male,Observed inside the Ellis Garage w/out cause & smoking marijuana,Name check; released with Trespass Warning,Yes
3,5/21/2019 11:20 PM,5505 S. Ellis,UCPD,African American,Male,Observed inside the Ellis Garage w/out cause & smoking marijuana,Name check; released with Trespass Warning,Yes
4,5/21/2019 11:20 PM,5505 S. Ellis,UCPD,African American,Male,Observed inside the Ellis Garage w/out cause & smoking marijuana,Name check; released with Trespass Warning,Yes
0,No field interviews for 05/22/2019,No field interviews for 05/22/2019,No field interviews for 05/22/2019,No field interviews for 05/22/2019,No field interviews for 05/22/2019,No field interviews for 05/22/2019,No field interviews for 05/22/2019,No field interviews for 05/22/2019
1,No field interviews for 05/23/2019,No field interviews for 05/23/2019,No field interviews for 05/23/2019,No field interviews for 05/23/2019,No field interviews for 05/23/2019,No field interviews for 05/23/2019,No field interviews for 05/23/2019,No field interviews for 05/23/2019
2,No field interviews for 05/24/2019,No field interviews for 05/24/2019,No field interviews for 05/24/2019,No field interviews for 05/24/2019,No field interviews for 05/24/2019,No field interviews for 05/24/2019,No field interviews for 05/24/2019,No field interviews for 05/24/2019
3,No field interviews for 05/25/2019,No field interviews for 05/25/2019,No field interviews for 05/25/2019,No field interviews for 05/25/2019,No field interviews for 05/25/2019,No field interviews for 05/25/2019,No field interviews for 05/25/2019,No field interviews for 05/25/2019
4,No field interviews for 05/26/2019,No field interviews for 05/26/2019,No field interviews for 05/26/2019,No field interviews for 05/26/2019,No field interviews for 05/26/2019,No field interviews for 05/26/2019,No field interviews for 05/26/2019,No field interviews for 05/26/2019
0,No field interviews for 05/27/2019,No field interviews for 05/27/2019,No field interviews for 05/27/2019,No field interviews for 05/27/2019,No field interviews for 05/27/2019,No field interviews for 05/27/2019,No field interviews for 05/27/2019,No field interviews for 05/27/2019
1,No field interviews for 05/28/2019,No field interviews for 05/28/2019,No field interviews for 05/28/2019,No field interviews for 05/28/2019,No field interviews for 05/28/2019,No field interviews for 05/28/2019,No field interviews for 05/28/2019,No field interviews for 05/28/2019
2,No field interviews for 05/29/2019,No field interviews for 05/29/2019,No field interviews for 05/29/2019,No field interviews for 05/29/2019,No field interviews for 05/29/2019,No field interviews for 05/29/2019,No field interviews for 05/29/2019,No field interviews for 05/29/2019
3,5/31/2019 12:05 AM,1525 E 60th,UCPD,African American,Male,Subject was in the immediate area of where a robbery had just occurred,"Clear LEADS, Released",Yes
4,5/31/2019 3:20 AM,1500 E Midway Plaisance,UCPD,African American,Male,Subject was in the immediate area of where a robbery had previously occurred,"Clear LEADS, Released",No
0,5/31/2019 3:20 AM,1500 E Midway Plaisance,UCPD,African American,Male,Subject was in the immediate area of where a robbery had previously occurred,"Clear LEADS, Released",No
1,5/31/2019 3:20 AM,1500 E Midway Plaisance,UCPD,African American,Male,Subject was in the immediate area of where a robbery had previously occurred,"Clear LEADS, Released",No
2,5/31/2019 3:20 AM,1500 E Midway Plaisance,UCPD,African American,Male,Subject was in the immediate area of where a robbery had previously occurred,"Clear LEADS, Released",No
3,No field interviews for 06/01/2019,No field interviews for 06/01/2019,No field interviews for 06/01/2019,No field interviews for 06/01/2019,No field interviews for 06/01/2019,No field interviews for 06/01/2019,No field interviews for 06/01/2019,No field interviews for 06/01/2019
4,No field interviews for 06/02/2019,No field interviews for 06/02/2019,No field interviews for 06/02/2019,No field interviews for 06/02/2019,No field interviews for 06/02/2019,No field interviews for 06/02/2019,No field interviews for 06/02/2019,No field interviews for 06/02/2019
0,6/4/2019 9:13 PM,5700 Kimbark,Citizen request for UCPD Response,African American,Male,Citizen called and stated an unknown male black was walking back and forth in the alley.,"Clear leads, released",No
1,No field interviews for 06/05/2019,No field interviews for 06/05/2019,No field interviews for 06/05/2019,No field interviews for 06/05/2019,No field interviews for 06/05/2019,No field interviews for 06/05/2019,No field interviews for 06/05/2019,No field interviews for 06/05/2019
2,No field interviews for 06/07/2019,No field interviews for 06/07/2019,No field interviews for 06/07/2019,No field interviews for 06/07/2019,No field interviews for 06/07/2019,No field interviews for 06/07/2019,No field interviews for 06/07/2019,No field interviews for 06/07/2019
3,No field interviews for 06/08/2019,No field interviews for 06/08/2019,No field interviews for 06/08/2019,No field interviews for 06/08/2019,No field interviews for 06/08/2019,No field interviews for 06/08/2019,No field interviews for 06/08/2019,No field interviews for 06/08/2019
4,No field interviews for 06/09/2019,No field interviews for 06/09/2019,No field interviews for 06/09/2019,No field interviews for 06/09/2019,No field interviews for 06/09/2019,No field interviews for 06/09/2019,No field interviews for 06/09/2019,No field interviews for 06/09/2019
0,No field interviews for 06/12/2019,No field interviews for 06/12/2019,No field interviews for 06/12/2019,No field interviews for 06/12/2019,No field interviews for 06/12/2019,No field interviews for 06/12/2019,No field interviews for 06/12/2019,No field interviews for 06/12/2019
1,Date Time,Location,Initiated By,Race,Gender,Reason for Stop,Disposition,Search
2,6/15/2019 4:20 PM,5500 S. University,UCPD,African American,Male,Subject stopped in front of squad car and attempted to open door. Subject suffers from mental illness (hospitalization not required at this time).,Name checked; released; no further action,No
3,Date Time,Location,Initiated By,Race,Gender,Reason for Stop,Disposition,Search
4,6/18/2019 5:05 PM,929 E 57th St,Citizen request for UCPD Response,African American,Male,"Subject observed inside keycard access building, taking food items, no victims located at this time.","Checked clear, issued trespass warning",Yes
0,No field interviews for 06/19/2019,No field interviews for 06/19/2019,No field interviews for 06/19/2019,No field interviews for 06/19/2019,No field interviews for 06/19/2019,No field interviews for 06/19/2019,No field interviews for 06/19/2019,No field interviews for 06/19/2019
1,No field interviews for 06/20/2019,No field interviews for 06/20/2019,No field interviews for 06/20/2019,No field interviews for 06/20/2019,No field interviews for 06/20/2019,No field interviews for 06/20/2019,No field interviews for 06/20/2019,No field interviews for 06/20/2019
2,6/21/2019 1:16 PM,1101 E 56th St,Citizen request for UCPD Response,African American,Male,Matched description of theft offender,Arrested by UCPD,Yes
3,6/21/2019 1:24 PM,5740 E 57th St,Citizen request for UCPD Response,African American,Male,Matched description of theft offender,Arrested by UCPD,Yes
4,6/21/2019 1:25 PM,5700 Drexel,Citizen request for UCPD Response,African American,Male,Matched description of theft offender,Released after investigation,Yes
0,No field interviews for 6/22/2019,No field interviews for 6/22/2019,No field interviews for 6/22/2019,No field interviews for 6/22/2019,No field interviews for 6/22/2019,No field interviews for 6/22/2019,No field interviews for 6/22/2019,No field interviews for 6/22/2019
1,No field interviews for 6/23/2019,No field interviews for 6/23/2019,No field interviews for 6/23/2019,No field interviews for 6/23/2019,No field interviews for 6/23/2019,No field interviews for 6/23/2019,No field interviews for 6/23/2019,No field interviews for 6/23/2019
2,No field interviews for 06/25/2019,No field interviews for 06/25/2019,No field interviews for 06/25/2019,No field interviews for 06/25/2019,No field interviews for 06/25/2019,No field interviews for 06/25/2019,No field interviews for 06/25/2019,No field interviews for 06/25/2019
3,6/26/2019 9:09 PM,5530 S. Ellis,UCPD,African American,Male,Officer observed vehicle parked in a tow zone without lights on vehicle in an area where two robberies have occurred.,"Clear LEADS, released",No
4,No field interviews for 06/28/2019,No field interviews for 06/28/2019,No field interviews for 06/28/2019,No field interviews for 06/28/2019,No field interviews for 06/28/2019,No field interviews for 06/28/2019,No field interviews for 06/28/2019,No field interviews for 06/28/2019
0,No field interviews for 06/29/2019,No field interviews for 06/29/2019,No field interviews for 06/29/2019,No field interviews for 06/29/2019,No field interviews for 06/29/2019,No field interviews for 06/29/2019,No field interviews for 06/29/2019,No field interviews for 06/29/2019
1,6/30/2019 2:03 PM,5721 S Maryland Ave.,Citizen request for UCPD Response,African American,Male,"During a Domestic Disturbance call, female caller advised that the subject took her cellular phone. Subject consented to a search for the phone, with negative results","Name checked, released; no further action",Yes
2,No field interviews for 7/2/2019,No field interviews for 7/2/2019,No field interviews for 7/2/2019,No field interviews for 7/2/2019,No field interviews for 7/2/2019,No field interviews for 7/2/2019,No field interviews for 7/2/2019,No field interviews for 7/2/2019
3,No field interviews for 7/5/2019,No field interviews for 7/5/2019,No field interviews for 7/5/2019,No field interviews for 7/5/2019,No field interviews for 7/5/2019,No field interviews for 7/5/2019,No field interviews for 7/5/2019,No field interviews for 7/5/2019
4,7/6/2019 3:48 AM,1700 E 55th,UCPD,Caucasian,Male,Driver traveling at slow rate of speed attempting to evade officer. Stop conducted and driver found to not have a valid license.,Clear LEADS/Released vehicle to passenger to drive,No
0,No field interviews for 7/7/2019,No field interviews for 7/7/2019,No field interviews for 7/7/2019,No field interviews for 7/7/2019,No field interviews for 7/7/2019,No field interviews for 7/7/2019,No field interviews for 7/7/2019,No field interviews for 7/7/2019
1,No field interviews for 7/8/2019,No field interviews for 7/8/2019,No field interviews for 7/8/2019,No field interviews for 7/8/2019,No field interviews for 7/8/2019,No field interviews for 7/8/2019,No field interviews for 7/8/2019,No field interviews for 7/8/2019
2,7/10/2019 4:09 AM,1120 E. 58th Street,Citizen request for UCPD Response,African American,Male,AU reported group of teen subjects were walking in the campus area & asking questions regarding their on/off duty times.,Name checked; released; no further action,No
3,7/10/2019 4:09 AM,1120 E. 58th Street,Citizen request for UCPD Response,African American,Male,AU reported group of teen subjects were walking in the campus area & asking questions regarding their on/off duty times.,Name checked; released; no further action,No
4,7/10/2019 4:09 AM,1120 E. 58th Street,Citizen request for UCPD Response,African American,Male,AU reported group of teen subjects were walking in the campus area & asking questions regarding their on/off duty times.,Name checked; released; no further action,No
0,7/10/2019 4:09 AM,1120 E. 58th Street,Citizen request for UCPD Response,African American,Male,AU reported group of teen subjects were walking in the campus area & asking questions regarding their on/off duty times.,Name checked; released; no further action,No
1,No field interviews for 7/10/2019,No field interviews for 7/10/2019,No field interviews for 7/10/2019,No field interviews for 7/10/2019,No field interviews for 7/10/2019,No field interviews for 7/10/2019,No field interviews for 7/10/2019,No field interviews for 7/10/2019
2,No field interviews for 7/11/2019,No field interviews for 7/11/2019,No field interviews for 7/11/2019,No field interviews for 7/11/2019,No field interviews for 7/11/2019,No field interviews for 7/11/2019,No field interviews for 7/11/2019,No field interviews for 7/11/2019
3,No field interviews for 7/15/2019,No field interviews for 7/15/2019,No field interviews for 7/15/2019,No field interviews for 7/15/2019,No field interviews for 7/15/2019,No field interviews for 7/15/2019,No field interviews for 7/15/2019,No field interviews for 7/15/2019
4,7/18/2019 1:05 PM,5130 S Lake Park Ave,UCPD,African American,Male,Known bike theft offender observed riding one bike and carrying another. Subject admitted bike did not belong to him.,Name checked; Arrested by UCPD,Yes
0,No field interviews for 07/19/2019,No field interviews for 07/19/2019,No field interviews for 07/19/2019,No field interviews for 07/19/2019,No field interviews for 07/19/2019,No field interviews for 07/19/2019,No field interviews for 07/19/2019,No field interviews for 07/19/2019
1,No field interviews for 07/20/2019,No field interviews for 07/20/2019,No field interviews for 07/20/2019,No field interviews for 07/20/2019,No field interviews for 07/20/2019,No field interviews for 07/20/2019,No field interviews for 07/20/2019,No field interviews for 07/20/2019
2,No field interviews for 07/21/2019,No field interviews for 07/21/2019,No field interviews for 07/21/2019,No field interviews for 07/21/2019,No field interviews for 07/21/2019,No field interviews for 07/21/2019,No field interviews for 07/21/2019,No field interviews for 07/21/2019
3,No field interviews for 07/22/2019,No field interviews for 07/22/2019,No field interviews for 07/22/2019,No field interviews for 07/22/2019,No field interviews for 07/22/2019,No field interviews for 07/22/2019,No field interviews for 07/22/2019,No field interviews for 07/22/2019
4,No field interviews for 07/23/2019,No field interviews for 07/23/2019,No field interviews for 07/23/2019,No field interviews for 07/23/2019,No field interviews for 07/23/2019,No field interviews for 07/23/2019,No field interviews for 07/23/2019,No field interviews for 07/23/2019
0,No field interviews for 07/24/2019,No field interviews for 07/24/2019,No field interviews for 07/24/2019,No field interviews for 07/24/2019,No field interviews for 07/24/2019,No field interviews for 07/24/2019,No field interviews for 07/24/2019,No field interviews for 07/24/2019
1,No field interviews for 07/26/2019,No field interviews for 07/26/2019,No field interviews for 07/26/2019,No field interviews for 07/26/2019,No field interviews for 07/26/2019,No field interviews for 07/26/2019,No field interviews for 07/26/2019,No field interviews for 07/26/2019
2,No field interviews for 07/29/2019,No field interviews for 07/29/2019,No field interviews for 07/29/2019,No field interviews for 07/29/2019,No field interviews for 07/29/2019,No field interviews for 07/29/2019,No field interviews for 07/29/2019,No field interviews for 07/29/2019
3,No field interviews for 07/30/2019,No field interviews for 07/30/2019,No field interviews for 07/30/2019,No field interviews for 07/30/2019,No field interviews for 07/30/2019,No field interviews for 07/30/2019,No field interviews for 07/30/2019,No field interviews for 07/30/2019
4,7/31/2019 12:03 PM,5812 S Ellis,UCPD,African American,Male,Subject was stopped after attempting to steal a bike and was identified as an offender wanted on signed complaints for a bike theft that occurred on 11 July 2019,"Name checked, Arrested",Yes
0,No field interviews for 08/01/2019,No field interviews for 08/01/2019,No field interviews for 08/01/2019,No field interviews for 08/01/2019,No field interviews for 08/01/2019,No field interviews for 08/01/2019,No field interviews for 08/01/2019,No field interviews for 08/01/2019
1,No field interviews for 08/02/19,No field interviews for 08/02/19,No field interviews for 08/02/19,No field interviews for 08/02/19,No field interviews for 08/02/19,No field interviews for 08/02/19,No field interviews for 08/02/19,No field interviews for 08/02/19
2,No field interviews for 08/03/19,No field interviews for 08/03/19,No field interviews for 08/03/19,No field interviews for 08/03/19,No field interviews for 08/03/19,No field interviews for 08/03/19,No field interviews for 08/03/19,No field interviews for 08/03/19
3,8/4/2019 2:28 AM,5525 ELLIS,UCPD,African American,Male,Subject match description of battery offender,"Clear LEADS, negative on show-up released.",No
4,8/4/2019 8:34 PM,1220 E 57th,Citizen request for UCPD Response,African American,Male,Causing disturbance/possession of possible stolen bike parts.,Clear LEADS/ Released,No
0,8/5/2019 4:43 PM,5751 S Woodlawn,Citizen request for UCPD Response,African American,Male,Subject was reportedly panhandling and disrupting customers at said location,Name checked; released with verbal warning,No
1,8/7/2019 10:26 AM,6200 S Drexel Ave,UCPD,African American,Male,"Observed subject carrying item in alley-way looking around, checking the area on two separate occasions","Name checked clear, released on scene",No
2,8/11/2019 9:48 PM,5300 S. Kimbark,UCPD,African American,Male,"On-viewed suspicious subjects riding one bike while holding a second bike, activity known to be associated with bike thefts.","Name checked, released & w/no further action.",No
3,No field interviews to report for 8/12/19.,No field interviews to report for 8/12/19.,No field interviews to report for 8/12/19.,No field interviews to report for 8/12/19.,No field interviews to report for 8/12/19.,No field interviews to report for 8/12/19.,No field interviews to report for 8/12/19.,No field interviews to report for 8/12/19.
4,No field interviews to report for 8/13/19.,No field interviews to report for 8/13/19.,No field interviews to report for 8/13/19.,No field interviews to report for 8/13/19.,No field interviews to report for 8/13/19.,No field interviews to report for 8/13/19.,No field interviews to report for 8/13/19.,No field interviews to report for 8/13/19.
0,No field interviews to report for 8/14/19.,No field interviews to report for 8/14/19.,No field interviews to report for 8/14/19.,No field interviews to report for 8/14/19.,No field interviews to report for 8/14/19.,No field interviews to report for 8/14/19.,No field interviews to report for 8/14/19.,No field interviews to report for 8/14/19.
1,No field interviews for 08/16/2019,No field interviews for 08/16/2019,No field interviews for 08/16/2019,No field interviews for 08/16/2019,No field interviews for 08/16/2019,No field interviews for 08/16/2019,No field interviews for 08/16/2019,No field interviews for 08/16/2019
2,No field interviews for 08/17/2019,No field interviews for 08/17/2019,No field interviews for 08/17/2019,No field interviews for 08/17/2019,No field interviews for 08/17/2019,No field interviews for 08/17/2019,No field interviews for 08/17/2019,No field interviews for 08/17/2019
3,8/18/2019 8:04 PM,5000 Greenwood,UCPD,African American,Male,"Occupied suspicious vehicle, when license plate ran thru LEADS came back with a hit for wanted. Further investigation showed the wanted to be a different person.",Clear LEADS/Released,No
4,8/19/2019 1:53 PM,5700 S. Dorchester,UCPD,African American,Male,Officer observed the subject briefly approaching people and when he saw the officer quickly he crossed the street to walk away. Subject was wearing a hooded sweatshirt in 80 degree temperature with the hood up and matched the general descriptiaon of recent robbery offender(s).,"Name checked, released & w/no further action.",No
0,8/19/2019 5:14 PM,5700 S. Ellis,UCPD,African American,Male,Subject matched the description of the subject approaching people from behind,"Name checked, released & w/no further action.",No
1,No field interviews to report for 8/21/2019.,No field interviews to report for 8/21/2019.,No field interviews to report for 8/21/2019.,No field interviews to report for 8/21/2019.,No field interviews to report for 8/21/2019.,No field interviews to report for 8/21/2019.,No field interviews to report for 8/21/2019.,No field interviews to report for 8/21/2019.
2,No field interviews to report for 8/22/2019.,No field interviews to report for 8/22/2019.,No field interviews to report for 8/22/2019.,No field interviews to report for 8/22/2019.,No field interviews to report for 8/22/2019.,No field interviews to report for 8/22/2019.,No field interviews to report for 8/22/2019.,No field interviews to report for 8/22/2019.
3,No field interviews to report for 8/23/2019.,No field interviews to report for 8/23/2019.,No field interviews to report for 8/23/2019.,No field interviews to report for 8/23/2019.,No field interviews to report for 8/23/2019.,No field interviews to report for 8/23/2019.,No field interviews to report for 8/23/2019.,No field interviews to report for 8/23/2019.
4,8/27/2019 9:41 AM,970 E. 58th Street,Citizen request for UCPD Response,African American,Male,observed attempting to conceal book inside store,"name checked clear, issued written trespass warnin",No
0,There were no field interviews for 9/5/19.,,,,,,,
1,There were no field interviews for 9/6/19.,,,,,,,
2,There were no field interviews for 9/7/19.,,,,,,,
3,9/8/2019 9:28 PM,1451 E. 55th Street,Citizen request for UCPD Response,African American,Male,Loitering,"Name checked, released to parent; no further actio",No
4,9/8/2019 9:28 PM,1554 E.55th Street,Citizen request for UCPD Response,African American,Male,Loitering,"Name checked, released to parent; no further actio",No
0,9/8/2019 9:28 PM,1554 E. 55th Street,Citizen request for UCPD Response,African American,Male,Loitering,"Name checked, released to parent; no further actio",No
1,9/14/2019 7:46 AM,5500 S. Kenwood,UCPD,African American,Male,Observed subject loitering in hot spot area and attempted to conceal himself near a tree,"Checked clear, contact card performed, released",No
2,9/15/2019 5:12 PM,5200 S. Cottage Grove,Citizen request for UCPD Response,African American,Male,Subject matched the description of a burglary offender,Arrested by CPD,Yes
3,9/15/2019 5:12 PM,5200 S. Cottage Grove,Citizen request for UCPD Response,African American,Male,Subject matched the description of a burglary offender,Arrested by CPD,Yes
4,9/17/2019 12:03 AM,5500 S. Ellis,UCPD,African American,Male,On-view suspicious activity; subject observed dancing in front of a UC Shuttle Bus having right of way while in traffic.,"Name checked, released with no further action.",No
0,9/21/2019 9:34 PM,5900 S. Blaclstone,UCPD,African American,Male,Male subject observed riding a bike & wearing a black hoodie with the hood covering his face and matching descriptions provided of recent robbery offenders,Name checked and released with no further action.,No
1,9/24/2019 5:31 PM,1346 E. 53rd Street,Citizen request for UCPD Response,African American,Male,Flagged down by a citizen who related that someone had stolen a phone. Unable to locate a victim,Clear Released,No
2,9/25/2019 1:59 PM,5201 S. Harper,UCPD,African American,Male,Subject observed in an attempt hand to hand transaction in an area of continued complaints of drug activity and loitering,Name checked and released with no further action.,No
3,9/28/2019 10:45 PM,5700 S. Blackstone,UCPD,African American,Male,"Found lying in the grass, highly intoxicated",Clear LEADS/Released,No
4,9/28/2019 9:12 PM,5000 S. Dorchester,UCPD,African American,Male,Subject matched robbery suspect description. Later identified by victim as offender.,Arrested by CPD,Yes
0,9/28/2019 9:12 PM,5000 S. Dorchester,UCPD,African American,Male,Subject matched robbery suspect description. Later identified by victim as offender.,Arrested by CPD,Yes
