,Date/Time,Location,Initiated By,Race,Gender,Reason for Stop,Disposition,Search
1,No field interviews for 07/23/2015,No field interviews for 07/23/2015,No field interviews for 07/23/2015,No field interviews for 07/23/2015,No field interviews for 07/23/2015,No field interviews for 07/23/2015,No field interviews for 07/23/2015,No field interviews for 07/23/2015
2,7/24/2015 23:01 PM,4800 S KIMBARK,Citizen request for UCPD Response,African American,Male,Citizen observed subject looking into vehicles,Name checked; released; no further action,NO
3,7/24/2015 23:01 PM,4800 S KIMBARK,Citizen request for UCPD Response,African American,Male,Citizen observed subject looking into vehicles,Name checked; released; no further action,NO
4,No field Interviews for 07/25/2015,No field Interviews for 07/25/2015,No field Interviews for 07/25/2015,No field Interviews for 07/25/2015,No field Interviews for 07/25/2015,No field Interviews for 07/25/2015,No field Interviews for 07/25/2015,No field Interviews for 07/25/2015
0,No field Interviews for 07/26/2015,No field Interviews for 07/26/2015,No field Interviews for 07/26/2015,No field Interviews for 07/26/2015,No field Interviews for 07/26/2015,No field Interviews for 07/26/2015,No field Interviews for 07/26/2015,No field Interviews for 07/26/2015
1,No field interviews for 07/27/2015,No field interviews for 07/27/2015,No field interviews for 07/27/2015,No field interviews for 07/27/2015,No field interviews for 07/27/2015,No field interviews for 07/27/2015,No field interviews for 07/27/2015,No field interviews for 07/27/2015
2,No field interviews for 07/28/2015,No field interviews for 07/28/2015,No field interviews for 07/28/2015,No field interviews for 07/28/2015,No field interviews for 07/28/2015,No field interviews for 07/28/2015,No field interviews for 07/28/2015,No field interviews for 07/28/2015
3,7/29/2015 8:29 PM,5758 S Maryland,Citizen request for UCPD Response,African American,Male,Suspicious person,Name checked; released; no further action,No
4,7/29/2015 10:05 PM,5300 S Hyde Park,UCPD,African American,Male,Observed by R/O in verbal altercation with unknown female subject. No sign of physical contact.,Name checked; verbal warning issued; released,No
0,7/31/2015 12:12 AM,843 E 53rd,Citizen request for UCPD Response,African American,Male,Suspicious person knocking on apartment doors,Name checked; released; no further action,No
1,7/31/2015 7:45 AM,5600 S Ellis,Citizen request for UCPD Response,African American,Female,Subject observed in verbal altercation,Name checked; referred to CPD; released by CPD,No
2,7/31/2015 7:45 AM,5600 S Ellis,Citizen request for UCPD Response,African American,Male,Subject observed in verbal altercation,Name checked; referred to CPD; released by CPD,No
3,7/31/2015 3:22 PM,1126 E 59th,UCPD,African American,Male,Subject fit description of BOLO,Name checked; released; no further action,No
4,8/1/2015 10:41 PM,5500 S Cottage Grove,UCPD,African American,Male,Subject is person of interest in several thefts from University buildings.,Name checked; verbal warning for trespassing issue,No
0,8/3/2015 4:07 AM,5000 Dorchester,Citizen request for UCPD Response,African American,Male,Subject found sleeping in complainant's car,Name checked; released; no further action,No
1,No field interviews for 08/03/2015,No field interviews for 08/03/2015,No field interviews for 08/03/2015,No field interviews for 08/03/2015,No field interviews for 08/03/2015,No field interviews for 08/03/2015,No field interviews for 08/03/2015,No field interviews for 08/03/2015
2,8/4/2015 4:49 PM,1451 E 53rd,Citizen request for UCPD Response,African American,Male,Disorderly conduct complaint - intoxicated male subject was refusing to leave.,Name checked; released; no further action,No
3,No field interviews for 08/05/2015,No field interviews for 08/05/2015,No field interviews for 08/05/2015,No field interviews for 08/05/2015,No field interviews for 08/05/2015,No field interviews for 08/05/2015,No field interviews for 08/05/2015,No field interviews for 08/05/2015
4,8/6/2015 3:19 PM,5900 S Cottage,UCPD,African American,Male,Subject observed panhandling in roadway,Name checked; released; no further action,No
0,8/6/2015 8:01 PM,5107 Blackstone,Citizen request for UCPD Response,African American,Male,Subject observed sleeping in building lobby,Name checked; escorted off premises,No
1,8/6/2015 8:01 PM,5107 Blackstone,Citizen request for UCPD Response,African American,Female,Subject observed sleeping in building lobby,Name checked; escorted off premises,No
2,No field interviews for 08/07/2015,No field interviews for 08/07/2015,No field interviews for 08/07/2015,No field interviews for 08/07/2015,No field interviews for 08/07/2015,No field interviews for 08/07/2015,No field interviews for 08/07/2015,No field interviews for 08/07/2015
3,No field interviews for 08/08/2015,No field interviews for 08/08/2015,No field interviews for 08/08/2015,No field interviews for 08/08/2015,No field interviews for 08/08/2015,No field interviews for 08/08/2015,No field interviews for 08/08/2015,No field interviews for 08/08/2015
4,No field interviews for 08/09/2015,No field interviews for 08/09/2015,No field interviews for 08/09/2015,No field interviews for 08/09/2015,No field interviews for 08/09/2015,No field interviews for 08/09/2015,No field interviews for 08/09/2015,No field interviews for 08/09/2015
0,8/10/2015 10:17 PM,4730 S Kimbark,Citizen request for UCPD Response,African American,Female,Suspicious vehicle,Name checked; spoke to parents; released,No
1,8/10/2015 10:17 PM,4730 S Kimbark,Citizen request for UCPD Response,African American,Male,Suspicious vehicle,Name checked; spoke to parents; released,No
