Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search,Date,Time
5134 S. Ingleside,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper lane usage,Two Citation Issued,Citation Issued,No,8/9/2019,1:32 PM
6100 S. University,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,One Citation Issued,Citation Issued,No,8/9/2019,4:34 PM
1226 E. 53rd Street,HISPANIC,MALE,Lane Violation,Improper lane usage,,Verbal Warning,No,8/9/2019,5:25 PM
5600 S. Stony Island,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Improper turn,,Verbal Warning,No,8/9/2019,9:00 PM
5500 S. Woodlawn,WHITE AMERICAN / CAUCASIAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/9/2019,9:34 PM
5900 S. Harper,BLACK / AFRICAN AMERICAN,MALE,Equipment,No headlights when required,,Verbal Warning,YES,8/9/2019,9:55 PM
Ellis & W/B Midway Plaisance,BLACK / AFRICAN AMERICAN,FEMALE,Equipment,No headlights when required,,Verbal Warning,No,8/9/2019,11:19 PM
5500 S. Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,Two Citation Issued,Citation Issued,No,8/10/2019,10:59 AM
5700 S. Woodlawn,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Red Light Violation,One Citation Issued,Citation Issued,No,8/10/2019,9:31 PM
5500 S. Drexel,HISPANIC,MALE,Equipment,Missing Tail Light,,Verbal Warning,No,8/10/2019,10:05 PM
Stony Island & Midway Plaisance,WHITE AMERICAN / CAUCASIAN,FEMALE,License Plate/registration,Expired Plate/Registration,,Verbal Warning,No,8/10/2019,11:31 PM
6220 S. Cottage Grove,BLACK / AFRICAN AMERICAN,MALE,Equipment,Failure to Signal,,Verbal Warning,YES,8/11/2019,2:19 PM
5900 S. University,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,8/11/2019,2:58 PM
5600 S. Maryland,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,8/11/2019,8:13 PM
5500 S. Lake Park,BLACK / AFRICAN AMERICAN,MALE,Equipment,Inoperable Headlight,,Verbal Warning,YES,8/11/2019,8:25 PM
5500 S. Lake Park,BLACK / AFRICAN AMERICAN,FEMALE,Equipment,No headlights when required,,Verbal Warning,No,8/11/2019,9:28 PM
5500 S. University,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Red Light Violation,,Verbal Warning,No,8/11/2019,9:37 PM
5500 S. Lake Park,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper Passing,,Verbal Warning,No,8/11/2019,10:03 PM
6300 S. Drexel,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Red Light Violation,,Verbal Warning,No,8/11/2019,10:38 PM
6300 S. Drexel,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Red Light Violation,,Verbal Warning,No,8/11/2019,11:59 PM
5700 S. Everett,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,No Turn Signal,One Citation Issued,Citation Issued,YES,8/11/2019,11:40 PM
1441 E.53rd Street,WHITE AMERICAN / CAUCASIAN,FEMALE,Seatbelt,No Seatbelt,,Verbal Warning,No,8/12/2019,9:37 AM
5300 S. Dorchester,BLACK / AFRICAN AMERICAN,MALE,Moving Violation - Other,Cell phone violation,Two Citation Issued,Citation Issued,No,8/12/2019,9:52 AM
5300 S. Greenwood,BLACK / AFRICAN AMERICAN,FEMALE,Moving Violation - Other,Cell phone violation,One Citation Issued,Citation Issued,No,8/12/2019,11:58 AM
5311 S. University,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,8/12/2019,1:39 PM
5426 S. Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/12/2019,6:24 PM
1375 Midway Plaisance,HISPANIC,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/12/2019,7:12 PM
5300 S. Kimbark,WHITE AMERICAN / CAUCASIAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/12/2019,9:03 PM
4810 S. Ellis,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,Three Citation Issued,Citation Issued,YES,8/12/2019,9:28 PM
1410 E. 56th Street,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/13/2019,12:46 PM
4900 S. Ellis,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/13/2019,7:49 PM
6000 S. Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/13/2019,7:57 PM
5400 S. Ellis,WHITE AMERICAN / CAUCASIAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/13/2019,8:04 PM
4800 S. Greenwood,WHITE AMERICAN / CAUCASIAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/13/2019,8:18 PM
6000 S. Stony Island,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper lane usage,,Verbal Warning,No,8/13/2019,9:17 PM
5300 S. Dorchester,BLACK / AFRICAN AMERICAN,MALE,Equipment,No headlights when required,,Verbal Warning,No,8/13/2019,9:30 PM
6000 S. Stony Island,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,One Citation Issued,Citation Issued,No,8/13/2019,10:44 PM
Midway Plaisance & Cornell,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper lane usage,,Verbal Warning,No,8/14/2019,5:06 AM
5345 S. Harper,ASIAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/14/2019,11:55 AM
5357 E. 53rd Street,ASIAN,MALE,Traffic sign/signal,Improper turn,One Citation Issued,Citation Issued,No,8/14/2019,2:02 PM
1517 E. 53rd Street,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Improper turn,,Verbal Warning,No,8/14/2019,2:14 PM
1350 E. 55th Street,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/14/2019,3:00 PM
5700 S. University,HISPANIC,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/14/2019,5:02 PM
5700 S. Stony Island,BLACK / AFRICAN AMERICAN,MALE,Equipment,Inoperable Headlight,,Verbal Warning,No,8/14/2019,9:01 PM
800 E. 53rd Street,BLACK / AFRICAN AMERICAN,FEMALE,Equipment,No headlights when required,,Verbal Warning,No,8/14/2019,9:47 PM
5900 S. Ellis,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/14/2019,10:54 PM
1354 E. 55th Place,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/15/2019,2:13 PM
5400 S.Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Seatbelt,No Seatbelt,,Verbal Warning,No,8/15/2019,5:19 PM
6000 S. Dorchester,BLACK / AFRICAN AMERICAN,MALE,Equipment,Failure to Signal,,Verbal Warning,No,8/15/2019,7:32 PM
5325 S DORCHESTER,WHITE AMERICAN / CAUCASIAN,MALE,Moving Violation � Other,STOP SIGN,0.0,Verbal Warning,No,8/16/2019,7:39 AM
5699 S LAKE PARK,BLACK / AFRICAN AMERICAN,MALE,Moving Violation � Other,STOP SIGN,0.0,Verbal Warning,No,8/16/2019,4:26 PM
5900 S WOODLAWN,WHITE AMERICAN / CAUCASIAN,MALE,Moving Violation � Other,UTILIZING ELECTRONIC DEVICE,0.0,Verbal Warning,No,8/16/2019,4:28 PM
5000 S Ellis,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failed to stop at sign,0.0,Verbal Warning,No,8/16/2019,8:07 PM
5300 S Kimbark,BLACK / AFRICAN AMERICAN,FEMALE,Equipment,Driving without headlights,2,Citation Issued,No,8/16/2019,9:11 PM
4800 S Greenwood,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Failed to stop at sign,0,Verbal Warning,No,8/16/2019,10:39 PM
6132 S Ellis,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failed to stop at sign,0,Verbal Warning,No,8/16/2019,10:49 PM
1628 E 55th,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Illegal U-Turn,0,Verbal Warning,No,8/18/2019,9:42 PM
4800 Ellis,ASIAN,MALE,Traffic Sign/Signal,Failed to stop at sign,0,Verbal Warning,No,8/18/2019,11:24 PM
5500 S. Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,Two Citation Issued,Citation Issued,No,8/19/2019,10:47 AM
5900 S. Stony Island,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/19/2019,3:57 PM
5500 S. Lake Park,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Red Light Violation,,Verbal Warning,No,8/19/2019,8:11 PM
6000 S. Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Red Light Violation,,Verbal Warning,No,8/19/2019,8:31 PM
5800 S. Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/19/2019,8:37 PM
5500 S. Greenwood,BLACK / AFRICAN AMERICAN,MALE,Equipment,No headlights when required,,Verbal Warning,No,8/19/2019,8:48 PM
5300 S. Greenwood,BLACK / AFRICAN AMERICAN,FEMALE,Equipment,Failure to Signal,,Verbal Warning,No,8/19/2019,9:10 PM
5252 S. Hyde Park,BLACK / AFRICAN AMERICAN,MALE,Equipment,No headlights when required,,Verbal Warning,No,8/19/2019,11:12 PM
1001 E 59th Street,ASIAN,MALE,Traffic Sign/Signal,Improper lane usage,,Verbal Warning,No,8/20/2019,4:09 PM
5721 S Maryland,BLACK / AFRICAN AMERICAN,MALE,Seatbelt,Seat belt violation,,Verbal Warning,Yes,8/20/2019,6:36 PM
6300 S Kenwood,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way,,verbal Warning,No,8/20/2019,8:02 PM
4937 S Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Stop Sign Violation,,Verbal Warning,No,8/20/2019,10:52 PM
5500 S. Kimbark,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper turn signal,,Verbal Warning,No,8/21/2019,6:42 PM
1221 E. 57th Street,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,8/21/2019,11:28 PM
5300 S. University,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/22/2019,9:11 AM
6200 S. Woodlawn,BLACK / AFRICAN AMERICAN,FEMALE,Moving Violation - Other,Improper turn,,Verbal Warning,No,8/22/2019,9:16 AM
6100 S. Drexel,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,Two Citation Issued,Citation Issued,No,8/22/2019,11:59 AM
6100 S. Cottage Grove,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/22/2019,4:40 PM
6137 S. Woodlawn,WHITE AMERICAN / CAUCASIAN,MALE,Seatbelt,No Seatbelt,,Verbal Warning,No,8/22/2019,5:11 PM
4900 S. Kimbark,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper overtake of a lane,,verbal Warning,No,8/22/2019,8:00 PM
5200 S. Woodlawn,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No,8/22/2019,9:44 PM
5200 S. Cottage Grove,BLACK / AFRICAN AMERICAN,FEMALE,Equipment,Taillight not functioning,,verbal Warning,No,8/22/2019,10:16 PM
6100 S. Ellis,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No,8/23/2019,2:11 AM
1226 E. 53rd Street,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Red Light Violation,,Verbal Warning,No,8/23/2019,1:30 PM
1457 E. 55th Street,WHITE AMERICAN / CAUCASIAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/23/2019,1:53 PM
5500 S. Drexel,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,8/23/2019,2:20 PM
5500 S. Drexel,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper overtake of a lane,,verbal Warning,No,8/23/2019,3:31 PM
1100 E. 55th Street,WHITE AMERICAN / CAUCASIAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,Two Citation Issued,Citation Issued,No,8/23/2019,5:39 PM
5500 S. Ingleside,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper overtake of a lane,,verbal Warning,No,8/23/2019,8:43 PM
1200 & Midway Plaisance,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,8/24/2019,4:18 AM
5801 S. Woodlawn,ASIAN,MALE,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No,8/24/2019,9:56 AM
E. Midway Plaisance & Dorchester,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,8/24/2019,12:43 PM
E. Midway Plaisance & Blackstone,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,8/24/2019,12:47 PM
5100 S. University,WHITE AMERICAN / CAUCASIAN,MALE,Lane Violation,Improper turn signal,,Verbal Warning,No,8/24/2019,2:13 PM
1401 E. Midway Plaisance,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,8/24/2019,3:29 PM
5700 S. Everett Ave.,HISPANIC,FEMALE,Lane Violation,Improper lane usage,,Verbal Warning,No,8/24/2019,4:48 PM
5518 S. Kenwood,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,No turn signal,,Verbal Warning,No,8/24/2019,6:01 PM
5700 S. Blackstone,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,8/24/2019,10:48 PM
5300 S. Cornell,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Red Light Violation,One Citation Issued,Citation Issued,YES,8/24/2019,11:32 PM
5630 S. Ellis,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper lane usage,,Verbal Warning,YES,8/25/2019,12:52 AM
5600 S. Cornell,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,Two Citation Issued,Citation Issued,YES,8/25/2019,8:17 PM
5200 S. Lake Park,BLACK / AFRICAN AMERICAN,FEMALE,Equipment,No headlights when required,,Verbal Warning,No,8/25/2019,8:46 PM
5600 S. Cottage Grove,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Red Light Violation,,Verbal Warning,No,8/25/2019,9:19 PM
1030 E. 56th Street,HISPANIC,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,8/25/2019,9:47 PM
6100 S. Cottage Grove,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper Turn,,Verbal Warning,No,8/25/2019,9:59 PM
5700 S. Dorchester,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/25/2019,10:48 PM
5300 S. Blackstone,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,No turn signal,,Verbal Warning,No,8/25/2019,11:14 PM
5500 S. Lake Park,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,No turn signal,,Verbal Warning,No,8/26/2019,2:19 AM
5500 S. Kenwood,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper Turn,,Verbal Warning,YES,8/26/2019,4:36 AM
4900 S. Ellis,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/26/2019,10:01 PM
5400 S. Blackstone,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/27/2019,1:03 PM
1439 E. 53rd Street,WHITE AMERICAN / CAUCASIAN,MALE,Moving Violation - Other,Improper U Turn,,Verbal Warning,No,8/27/2019,1:10 PM
1346 E. 53rd Street,BLACK / AFRICAN AMERICAN,FEMALE,Moving Violation - Other,Cell phone violation,,Verbal Warning,No,8/27/2019,2:10 PM
5600 S. Harper,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/27/2019,3:54 PM
4800 S. Ellis,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,Two Citation Issued,Citation Issued,No,8/27/2019,7:46 PM
5000 S. Cornell,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,No turn signal,,Verbal Warning,No,8/27/2019,10:33 PM
5000 S. Ellis,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/27/2019,10:43 PM
4700 S. Woodlawn,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper lane usage,,Verbal Warning,No,8/27/2019,10:54 PM
5100 S. Lake Park,BLACK / AFRICAN AMERICAN,MALE,Equipment,One Headlight,,Verbal Warning,No,8/27/2019,11:25 PM
1354 E. 55th Street,BLACK / AFRICAN AMERICAN,MALE,Moving Violation - Other,Electronic Communication Device,,Verbal Warning,No,8/28/2019,12:17 PM
5500 S. Payne,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper lane usage,,Verbal Warning,No,8/28/2019,3:45 PM
5321 S. Lake Park,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,No turn signal,,Verbal Warning,No,8/28/2019,4:38 PM
5200 S. Cottage Grove,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/28/2019,5:38 PM
6000 S. Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper lane usage,,Verbal Warning,No,8/28/2019,8:15 PM
5400 S. Blackstone,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,No turn signal,,Verbal Warning,No,8/28/2019,8:26 PM
5100 S. Kenwood,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,One Citation Issued,Citation Issued,No,8/28/2019,8:52 PM
w/b Midway Plaisance & Cottage Grove,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Red Light Violation,,Verbal Warning,YES,8/28/2019,9:15 PM
5300 S. Dorchester,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,Two Citation Issued,Citation Issued,No,8/28/2019,9:21 PM
5600 S. Drexel,BLACK / AFRICAN AMERICAN,FEMALE,Equipment,No headlights when required,,Verbal Warning,No,8/28/2019,10:50 PM
5800 S. Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/28/2019,11:20 PM
5500 S. Lake Park,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,No turn signal,,Verbal Warning,No,8/28/2019,11:57 PM
5300 S. Dorchester,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/29/2019,10:29 AM
5500 S. Lake Park,BLACK / AFRICAN AMERICAN,MALE,Equipment,No headlights when required,,Verbal Warning,No,8/29/2019,9:17 PM
6000 S. Woodlawn,WHITE AMERICAN / CAUCASIAN,MALE,Equipment,No headlights when required,,Verbal Warning,No,8/29/2019,9:57 PM
5700 S. Cornell,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,YES,8/29/2019,10:32 PM
6300 S. Drexel,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper Passing,,Verbal Warning,No,8/29/2019,11:43 PM
5500 S. Harper,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper turn,,Verbal Warning,No,8/30/2019,12:32 AM
5445 S. University,WHITE AMERICAN / CAUCASIAN,FEMALE,Lane Violation,No turn signal,,Verbal Warning,No,8/30/2019,11:15 AM
5500 S. Kenwood,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/30/2019,1:06 PM
1330 E. 53rd Street,BLACK / AFRICAN AMERICAN,MALE,Moving Violation - Other,Improper U Turn,,Verbal Warning,No,8/31/2019,10:06 AM
4900 S. Dorchester,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/31/2019,8:18 PM
4700 S. Ellis,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/31/2019,8:55 PM
4900 S. Greenwood,HISPANIC,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,8/31/2019,10:05 PM
1364 E. 53rd Street,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,9/1/2019,11:56 AM
6000 S. Cottage Grove,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,Two Citation Issued,Citation Issued,No,9/1/2019,5:50 PM
5300 S. Cornell,BLACK / AFRICAN AMERICAN,FEMALE,moving Violation - Other,Cell phone violation,One Citation Issued,Citation Issued,No,9/1/2019,11:00 PM
5100 S. Cornell,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,9/1/2019,11:36 PM
5204 S. Woodlawn,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No,9/2/2019,1:49 PM
5500 S. University,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No,9/2/2019,2:52 PM
1380 E. Madison Park,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,9/2/2019,3:55 PM
5500 S. Harper,BLACK / AFRICAN AMERICAN,MALE,License Plate/Registration,Expired License Plate/registration,,Verbal Warning,No,9/2/2019,8:16 PM
5700 S. Blackstone,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,No turn signal,,Verbal Warning,No,9/2/2019,9:35 PM
5600 S. Lake Park,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,No turn signal,,Verbal Warning,No,9/2/2019,10:22 PM
5600 S. Stony Island,HISPANIC,MALE,Lane Violation,No turn signal,,Verbal Warning,No,9/2/2019,11:21 PM
5600 S. Woodlawn,BLACK / AFRICAN AMERICAN,MALE,License Plate/Registration,No front license plate,Three Citations Issued,Citation Issued,YES,9/3/2019,12:51 AM
1406 E. 53rd Street,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Improper lane usage,,Verbal Warning,No,9/3/2019,11:43 AM
1431 E. Hyde Park,WHITE AMERICAN / CAUCASIAN,MALE,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No,9/3/2019,3:34 PM
5300 S. University,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No,9/3/2019,3:59 PM
5500 S. Drexel,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No,9/3/2019,5:04 PM
5700 S. Harper,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,Two Citation Issued,Citation Issued,No,9/3/2019,8:41 PM
5500 S. Woodlawn,BLACK / AFRICAN AMERICAN,MALE,moving Violation - Other,Failed to yield to Emergency Vehicle,,Verbal Warning,No,9/4/2019,7:49 PM
4900 S. Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,9/4/2019,8:30 PM
5400 S. Hyde Park,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,9/4/2019,9:32 PM
5900 S. Maryland,WHITE AMERICAN / CAUCASIAN,FEMALE,moving Violation - Other,Utilizing cell phone while driving,,Verbal Warning,No,9/5/2019,5:14 PM
5500 S. Greenwood,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,9/5/2019,11:16 PM
5840 S. Dorchester,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,9/6/2019,9:09 PM
1215 E. 53rd Street,BLACK / AFRICAN AMERICAN,MALE,Moving Violation - Other,Utilizing cell phone while driving,,Verbal Warning,No,9/6/2019,11:19 PM
5500 S. Greenwood,BLACK / AFRICAN AMERICAN,MALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,9/6/2019,11:31 PM
5200 S. Drexel,BLACK / AFRICAN AMERICAN,MALE,Moving Violation - Other,Utilizing cell phone while driving,,Verbal Warning,No,9/7/2019,12:20 AM
5600 S. Woodlawn,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,9/7/2019,1:30 AM
5600 S. Lake Park,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Wrong way on one way street,,Verbal Warning,No,9/7/2019,8:33 PM
56th & Woodlawn,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,9/7/2019,8:52 PM
56th & Lake Park,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,9/7/2019,10:40 PM
57th & Harper,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,9/7/2019,10:13 PM
53rd & Lake Park,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Posted Sign,,Verbal Warning,No,9/7/2019,11:19 PM
59th & Maryland,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,9/7/2019,11:48 PM
5000 S. Ellis,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,One Citation Issued,Citation Issued,No,9/9/2019,10:33 PM
1508 E. 53rd Street,BLACK / AFRICAN AMERICAN,FEMALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,9/10/2019,12:16 PM
5100 S. Dorchester,ASIAN,MALE,moving Violation - Other,Improper U-Turn,,Verbal Warning,No,9/10/2019,16:50 PM
1401 E. 51st Street,BLACK / AFRICAN AMERICAN,MALE,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No,9/10/2019,5:03 PM
5500 S. Dorchester,WHITE AMERICAN / CAUCASIAN,MALE,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No,9/10/2019,8:02 PM
