Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search,Date,Time
5700 S University,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No,3/30/2016,11:25 AM
63rd and Woodlawn,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,3/31/2016,7:29 PM
1307 E 60th St.,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,4/1/2016,9:43 PM
6300 S Greenwood,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran two stop signs,,Verbal Warning,No,4/5/2016,7:53 PM
5700 S University,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,4/6/2016,5:25 PM
6120 S Ellis,BLACK / AFRICAN AMERICAN,MALE,Moving Violation - Other,Driving on sidewalk,,Verbal Warning,No,4/6/2016,7:02 PM
1431 E 51st,BLACK / AFRICAN AMERICAN,FEMALE,Traffic Sign/Signal,Ran red light,Two citations issued for disobeying traffic signal and suspended license,Citation Issued,No,4/7/2016,1:03 PM
5700 S University,BLACK / AFRICAN AMERICAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,4/8/2016,4:18 PM
5500 S Everett,BLACK / AFRICAN AMERICAN,MALE,License Plate/Registration,No front license plate,,Verbal Warning,No,4/12/2016,11:50 AM
5500 S Ellis,BLACK / AFRICAN AMERICAN,FEMALE,Lane Violation,Improper passing,,Verbal Warning,No,4/12/2016,3:01 PM
5500 block of S Ellis,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,4/13/2016,12:58 PM
5700 block of Woodlawn,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,4/13/2016,4:12 PM
5700 block of Greenwood,WHITE AMERICAN / CAUCASIAN,MALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,4/13/2016,4:28 PM
5100 S Dorchester,WHITE AMERICAN / CAUCASIAN,FEMALE,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No,4/15/2016,11:28 AM
